timestamp,room_name,wattage,amperage,voltage,breaker_tripped
2025-11-28T00:00:00,Daughters room,252.45,2.1,120,false
2025-11-28T00:00:00,Kitchen,127.15,1.06,120,false
2025-11-28T00:00:00,Living room,333.05,2.78,120,false
2025-11-28T00:00:00,Parents room,358.71,2.99,120,false
2025-11-28T00:00:00,Sons room,263.97,2.2,120,false
2025-11-28T00:10:00,Daughters room,226.13,1.88,120,false
2025-11-28T00:10:00,Kitchen,191.78,1.6,120,false
2025-11-28T00:10:00,Living room,83.37,0.69,120,false
2025-11-28T00:10:00,Parents room,132.35,1.1,120,false
2025-11-28T00:10:00,Sons room,275.18,2.29,120,false
2025-11-28T00:20:00,Daughters room,186.25,1.55,120,false
2025-11-28T00:20:00,Kitchen,304.18,2.53,120,false
2025-11-28T00:20:00,Living room,253.88,2.12,120,false
2025-11-28T00:20:00,Parents room,373.1,3.11,120,false
2025-11-28T00:20:00,Sons room,91.79,0.76,120,false
2025-11-28T00:30:00,Daughters room,335.55,2.8,120,false
2025-11-28T00:30:00,Kitchen,77.77,0.65,120,false
2025-11-28T00:30:00,Living room,244.15,2.03,120,false
2025-11-28T00:30:00,Parents room,106.49,0.89,120,false
2025-11-28T00:30:00,Sons room,100.97,0.84,120,false
2025-11-28T00:40:00,Daughters room,122.73,1.02,120,false
2025-11-28T00:40:00,Kitchen,326.21,2.72,120,false
2025-11-28T00:40:00,Living room,311.61,2.6,120,false
2025-11-28T00:40:00,Parents room,233.65,1.95,120,false
2025-11-28T00:40:00,Sons room,271.47,2.26,120,false
2025-11-28T00:50:00,Daughters room,121.76,1.01,120,false
2025-11-28T00:50:00,Kitchen,302.23,2.52,120,false
2025-11-28T00:50:00,Living room,352.05,2.93,120,false
2025-11-28T00:50:00,Parents room,207.89,1.73,120,false
2025-11-28T00:50:00,Sons room,260.9,2.17,120,false
2025-11-28T01:00:00,Daughters room,316.94,2.64,120,false
2025-11-28T01:00:00,Kitchen,366.89,3.06,120,false
2025-11-28T01:00:00,Living room,135.92,1.13,120,false
2025-11-28T01:00:00,Parents room,78.03,0.65,120,false
2025-11-28T01:00:00,Sons room,153.95,1.28,120,false
2025-11-28T01:10:00,Daughters room,386.97,3.22,120,false
2025-11-28T01:10:00,Kitchen,161.5,1.35,120,false
2025-11-28T01:10:00,Living room,178.7,1.49,120,false
2025-11-28T01:10:00,Parents room,265.21,2.21,120,false
2025-11-28T01:10:00,Sons room,219.57,1.83,120,false
2025-11-28T01:20:00,Daughters room,76.73,0.64,120,false
2025-11-28T01:20:00,Kitchen,113.91,0.95,120,false
2025-11-28T01:20:00,Living room,279.41,2.33,120,false
2025-11-28T01:20:00,Parents room,284.58,2.37,120,false
2025-11-28T01:20:00,Sons room,168.01,1.4,120,false
2025-11-28T01:30:00,Daughters room,125.19,1.04,120,false
2025-11-28T01:30:00,Kitchen,189.01,1.58,120,false
2025-11-28T01:30:00,Living room,198.36,1.65,120,false
2025-11-28T01:30:00,Parents room,250.15,2.08,120,false
2025-11-28T01:30:00,Sons room,304.15,2.53,120,false
2025-11-28T01:40:00,Daughters room,145.08,1.21,120,false
2025-11-28T01:40:00,Kitchen,278.52,2.32,120,false
2025-11-28T01:40:00,Living room,98.85,0.82,120,false
2025-11-28T01:40:00,Parents room,233.73,1.95,120,false
2025-11-28T01:40:00,Sons room,270.93,2.26,120,false
2025-11-28T01:50:00,Daughters room,321.58,2.68,120,false
2025-11-28T01:50:00,Kitchen,333.01,2.78,120,false
2025-11-28T01:50:00,Living room,350.0,2.92,120,false
2025-11-28T01:50:00,Parents room,168.19,1.4,120,false
2025-11-28T01:50:00,Sons room,171.26,1.43,120,false
2025-11-28T02:00:00,Daughters room,275.14,2.29,120,false
2025-11-28T02:00:00,Kitchen,225.79,1.88,120,false
2025-11-28T02:00:00,Living room,347.45,2.9,120,false
2025-11-28T02:00:00,Parents room,337.49,2.81,120,false
2025-11-28T02:00:00,Sons room,157.33,1.31,120,false
2025-11-28T02:10:00,Daughters room,354.32,2.95,120,false
2025-11-28T02:10:00,Kitchen,164.25,1.37,120,false
2025-11-28T02:10:00,Living room,120.9,1.01,120,false
2025-11-28T02:10:00,Parents room,110.06,0.92,120,false
2025-11-28T02:10:00,Sons room,176.25,1.47,120,false
2025-11-28T02:20:00,Daughters room,333.09,2.78,120,false
2025-11-28T02:20:00,Kitchen,206.62,1.72,120,false
2025-11-28T02:20:00,Living room,323.8,2.7,120,false
2025-11-28T02:20:00,Parents room,225.34,1.88,120,false
2025-11-28T02:20:00,Sons room,142.93,1.19,120,false
2025-11-28T02:30:00,Daughters room,125.68,1.05,120,false
2025-11-28T02:30:00,Kitchen,155.04,1.29,120,false
2025-11-28T02:30:00,Living room,123.91,1.03,120,false
2025-11-28T02:30:00,Parents room,160.25,1.34,120,false
2025-11-28T02:30:00,Sons room,93.73,0.78,120,false
2025-11-28T02:40:00,Daughters room,274.78,2.29,120,false
2025-11-28T02:40:00,Kitchen,161.67,1.35,120,false
2025-11-28T02:40:00,Living room,180.2,1.5,120,false
2025-11-28T02:40:00,Parents room,346.86,2.89,120,false
2025-11-28T02:40:00,Sons room,205.59,1.71,120,false
2025-11-28T02:50:00,Daughters room,357.77,2.98,120,false
2025-11-28T02:50:00,Kitchen,326.17,2.72,120,false
2025-11-28T02:50:00,Living room,110.53,0.92,120,false
2025-11-28T02:50:00,Parents room,162.9,1.36,120,false
2025-11-28T02:50:00,Sons room,218.91,1.82,120,false
2025-11-28T03:00:00,Daughters room,71.85,0.6,120,false
2025-11-28T03:00:00,Kitchen,244.35,2.04,120,false
2025-11-28T03:00:00,Living room,132.18,1.1,120,false
2025-11-28T03:00:00,Parents room,152.47,1.27,120,false
2025-11-28T03:00:00,Sons room,144.96,1.21,120,false
2025-11-28T03:10:00,Daughters room,167.39,1.39,120,false
2025-11-28T03:10:00,Kitchen,278.36,2.32,120,false
2025-11-28T03:10:00,Living room,216.78,1.81,120,false
2025-11-28T03:10:00,Parents room,91.27,0.76,120,false
2025-11-28T03:10:00,Sons room,304.11,2.53,120,false
2025-11-28T03:20:00,Daughters room,257.32,2.14,120,false
2025-11-28T03:20:00,Kitchen,327.43,2.73,120,false
2025-11-28T03:20:00,Living room,294.06,2.45,120,false
2025-11-28T03:20:00,Parents room,339.03,2.83,120,false
2025-11-28T03:20:00,Sons room,185.62,1.55,120,false
2025-11-28T03:30:00,Daughters room,174.5,1.45,120,false
2025-11-28T03:30:00,Kitchen,311.08,2.59,120,false
2025-11-28T03:30:00,Living room,130.96,1.09,120,false
2025-11-28T03:30:00,Parents room,280.45,2.34,120,false
2025-11-28T03:30:00,Sons room,114.9,0.96,120,false
2025-11-28T03:40:00,Daughters room,169.55,1.41,120,false
2025-11-28T03:40:00,Kitchen,357.34,2.98,120,false
2025-11-28T03:40:00,Living room,92.09,0.77,120,false
2025-11-28T03:40:00,Parents room,293.82,2.45,120,false
2025-11-28T03:40:00,Sons room,290.61,2.42,120,false
2025-11-28T03:50:00,Daughters room,275.8,2.3,120,false
2025-11-28T03:50:00,Kitchen,331.34,2.76,120,false
2025-11-28T03:50:00,Living room,208.55,1.74,120,false
2025-11-28T03:50:00,Parents room,155.38,1.29,120,false
2025-11-28T03:50:00,Sons room,344.37,2.87,120,false
2025-11-28T04:00:00,Daughters room,273.67,2.28,120,false
2025-11-28T04:00:00,Kitchen,315.46,2.63,120,false
2025-11-28T04:00:00,Living room,143.03,1.19,120,false
2025-11-28T04:00:00,Parents room,161.13,1.34,120,false
2025-11-28T04:00:00,Sons room,128.16,1.07,120,false
2025-11-28T04:10:00,Daughters room,390.84,3.26,120,false
2025-11-28T04:10:00,Kitchen,337.41,2.81,120,false
2025-11-28T04:10:00,Living room,189.87,1.58,120,false
2025-11-28T04:10:00,Parents room,113.31,0.94,120,false
2025-11-28T04:10:00,Sons room,285.15,2.38,120,false
2025-11-28T04:20:00,Daughters room,98.88,0.82,120,false
2025-11-28T04:20:00,Kitchen,211.31,1.76,120,false
2025-11-28T04:20:00,Living room,194.22,1.62,120,false
2025-11-28T04:20:00,Parents room,358.96,2.99,120,false
2025-11-28T04:20:00,Sons room,273.13,2.28,120,false
2025-11-28T04:30:00,Daughters room,266.18,2.22,120,false
2025-11-28T04:30:00,Kitchen,355.96,2.97,120,false
2025-11-28T04:30:00,Living room,375.37,3.13,120,false
2025-11-28T04:30:00,Parents room,116.44,0.97,120,false
2025-11-28T04:30:00,Sons room,190.04,1.58,120,false
2025-11-28T04:40:00,Daughters room,153.92,1.28,120,false
2025-11-28T04:40:00,Kitchen,255.59,2.13,120,false
2025-11-28T04:40:00,Living room,316.22,2.64,120,false
2025-11-28T04:40:00,Parents room,240.74,2.01,120,false
2025-11-28T04:40:00,Sons room,335.42,2.8,120,false
2025-11-28T04:50:00,Daughters room,256.03,2.13,120,false
2025-11-28T04:50:00,Kitchen,194.2,1.62,120,false
2025-11-28T04:50:00,Living room,252.82,2.11,120,false
2025-11-28T04:50:00,Parents room,258.01,2.15,120,false
2025-11-28T04:50:00,Sons room,289.07,2.41,120,false
2025-11-28T05:00:00,Daughters room,188.74,1.57,120,false
2025-11-28T05:00:00,Kitchen,152.55,1.27,120,false
2025-11-28T05:00:00,Living room,171.41,1.43,120,false
2025-11-28T05:00:00,Parents room,234.31,1.95,120,false
2025-11-28T05:00:00,Sons room,211.0,1.76,120,false
2025-11-28T05:10:00,Daughters room,263.67,2.2,120,false
2025-11-28T05:10:00,Kitchen,138.4,1.15,120,false
2025-11-28T05:10:00,Living room,336.66,2.81,120,false
2025-11-28T05:10:00,Parents room,154.9,1.29,120,false
2025-11-28T05:10:00,Sons room,318.44,2.65,120,false
2025-11-28T05:20:00,Daughters room,116.19,0.97,120,false
2025-11-28T05:20:00,Kitchen,246.48,2.05,120,false
2025-11-28T05:20:00,Living room,288.98,2.41,120,false
2025-11-28T05:20:00,Parents room,215.48,1.8,120,false
2025-11-28T05:20:00,Sons room,209.3,1.74,120,false
2025-11-28T05:30:00,Daughters room,308.35,2.57,120,false
2025-11-28T05:30:00,Kitchen,221.68,1.85,120,false
2025-11-28T05:30:00,Living room,135.12,1.13,120,false
2025-11-28T05:30:00,Parents room,312.68,2.61,120,false
2025-11-28T05:30:00,Sons room,296.62,2.47,120,false
2025-11-28T05:40:00,Daughters room,261.62,2.18,120,false
2025-11-28T05:40:00,Kitchen,220.21,1.84,120,false
2025-11-28T05:40:00,Living room,241.99,2.02,120,false
2025-11-28T05:40:00,Parents room,170.88,1.42,120,false
2025-11-28T05:40:00,Sons room,279.69,2.33,120,false
2025-11-28T05:50:00,Daughters room,88.7,0.74,120,false
2025-11-28T05:50:00,Kitchen,227.63,1.9,120,false
2025-11-28T05:50:00,Living room,333.29,2.78,120,false
2025-11-28T05:50:00,Parents room,348.47,2.9,120,false
2025-11-28T05:50:00,Sons room,381.64,3.18,120,false
2025-11-28T06:00:00,Daughters room,239.37,1.99,120,false
2025-11-28T06:00:00,Kitchen,131.35,1.09,120,false
2025-11-28T06:00:00,Living room,147.52,1.23,120,false
2025-11-28T06:00:00,Parents room,147.39,1.23,120,false
